,component,feature,axis
89,0.009760204800613745,qglobTkN__2,1
90,0.009171468727699415,qglobTkPt_2,1
91,0.007578342206727605,qMuPhi_1,1
92,0.007479901115713286,qMuEn_2,1
93,0.007432508732558185,qMuNCh_4,1
94,0.006556289248711199,qglobTkPt_6,1
95,0.005240373828308551,qMuNCh_2,1
96,0.004895391993035991,qMuPhi_4,1
97,0.004838909839344632,qglobTkPhi_3,1
98,0.004334150173941426,qglobTkPhi_1,1
99,0.00425925897208685,qMuPt_2,1
100,0.0041005705087631865,qglobTkEta_4,1
101,0.003972667678037154,qglobTkPhi_4,1
102,0.0035576953501830944,qMuEn_3,1
103,0.003063612171225804,qglobTkN_3,1
104,0.003063612171225804,qglobTkN__3,1
105,0.002898741064684824,qMuPhi_3,1
106,0.002781316915120298,qglobTkEta_0,1
107,0.002426338681033266,qglobTkPhi_2,1
108,0.0023322590052575814,qMuPhi_5,1
109,0.0022551529198363072,qMuPhi_2,1
110,0.002072338144575005,qglobTkPhi_5,1
111,0.0019456127998587686,qpVtxX__4,1
112,0.0016100770127759107,qpVtxX__0,1
113,0.0015837669274297087,qMuPt_3,1
114,0.0015384997126771651,qMuEta_4,1
115,0.0014250336409574959,qMuPhi_0,1
116,0.0012787662631255704,qglobTkPhi_0,1
117,0.0012502226419005898,qpVtxZ__1,1
118,0.0011533692308221717,qMuPhi_6,1
119,0.0010740304430505352,qMuEta_0,1
120,0.0009462344246258059,qpVtxZ__6,1
121,0.0007452931525048067,qpVtxZ__5,1
122,0.0005304217414693583,qglobTkPhi_6,1
123,0.00045731778920625433,qPUEvt__1,1
124,0.0004483940441007152,qlumiEvt__1,1
125,0.00037495665705580583,qpVtxZ__2,1
126,0.00033160320565966674,qpVtxZ__3,1
127,0.00023768734110328965,qpVtxZ__0,1
128,0.0001982300835528959,qpVtxChi2__0,1
129,0.00013733516871542242,qpVtxZ__4,1
130,0.00013180754107727625,qglobTkPt_0,1
131,0.00012463047930032984,qpVtxChi2__1,1
132,4.613147793284023e-05,qMuNCh_3,1
133,3.652129360154147e-05,qMuPt_0,1
134,2.3632246227163482e-05,qglobTkPt_1,1
135,1.8557989477479883e-05,qglobTkChi2_0,1
136,1.8184519392985822e-05,qglobTkChi2_1,1
137,1.2977264981163056e-05,qMuPt_1,1
138,4.082960564802062e-06,qMuEn_0,1
139,2.3457824883454586e-06,qMuEn_1,1
140,0.0,qMuChi2_0,1
141,0.0,qMuChi2_1,1
142,0.0,qMuChi2_2,1
143,0.0,qMuChi2_3,1
144,0.0,qMuChi2_4,1
145,0.0,qMuChi2_5,1
146,0.0,qMuChi2_6,1
147,0.2536954202108315,qglobTkNHits_5,2
148,0.22789445593112653,qglobTkPt_3,2
149,0.22773034284318558,qglobTkNHits_0,2
150,0.1890804998691562,qglobTkNHits_3,2
151,0.1704421975124606,qglobTkN_6,2
152,0.1704421975124606,qglobTkN__6,2
153,0.16331391696188038,qpVtxChi2__3,2
154,0.1586098310764911,qglobTkNHits_4,2
155,0.15857585500086133,qMuN_0,2
156,0.15702280007982425,qglobTkN_0,2
157,0.15702280007982425,qglobTkN__0,2
158,0.15375855096408145,qMuNCh_1,2
159,0.1537177862109535,qMuPt_5,2
160,0.15256315160957598,qMuN_2,2
161,0.14887223871109115,qMuNCh_5,2
162,0.14728712008537295,qMuN_3,2
163,0.1444378962199665,qpVtxChi2__2,2
164,0.1433021397607988,qPUEvt__6,2
165,0.14237882230873072,qPUEvt__5,2
166,0.14172285518657243,qPUEvt__0,2
167,0.14026665441624747,qPUEvt__4,2
168,0.13851009113717333,qMuN_5,2
169,0.1383235117206116,qPUEvt__3,2
170,0.13763160814369835,qPUEvt__2,2
171,0.1348537234385535,qMuN_6,2
172,0.13433065357533963,qMuN_4,2
173,0.13048416792696055,qglobTkN_1,2
174,0.13048416792696055,qglobTkN__1,2
175,0.12569149302772595,qglobTkNHits_6,2
176,0.12126501653949803,qglobTkN_5,2
177,0.12126501653949803,qglobTkN__5,2
178,0.11760582334929319,qMuN_1,2
