EP loss_test loss_valid
213 0.1539919674396515 0.15399368107318878
214 0.15360300242900848 0.15360471606254578
215 0.1532127559185028 0.1532144844532013
216 0.15282627940177917 0.15282799303531647
217 0.15244048833847046 0.15244220197200775
218 0.1520540714263916 0.1520557850599289
219 0.15166756510734558 0.15166924893856049
220 0.1512831449508667 0.151284858584404
221 0.15089963376522064 0.15090133249759674
222 0.15051695704460144 0.15051865577697754
223 0.1501329094171524 0.1501346379518509
224 0.14974987506866455 0.14975158870220184
225 0.14937248826026917 0.14937418699264526
226 0.14899134635925293 0.14899305999279022
227 0.14860782027244568 0.14860951900482178
228 0.1482296884059906 0.1482313871383667
229 0.14785072207450867 0.14785243570804596
230 0.14747242629528046 0.14747413992881775
231 0.14709621667861938 0.14709793031215668
232 0.1467195600271225 0.1467212736606598
233 0.14634226262569427 0.14634399116039276
234 0.14596669375896454 0.14596842229366302
235 0.14559198915958405 0.14559371769428253
236 0.1452198028564453 0.1452215164899826
237 0.14484716951847076 0.14484888315200806
238 0.1444731503725052 0.14447486400604248
239 0.14409980177879333 0.14410151541233063
240 0.1437288522720337 0.14373056590557098
241 0.14336054027080536 0.14336223900318146
242 0.1429879367351532 0.1429896503686905
243 0.14261803030967712 0.14261974394321442
244 0.142252117395401 0.1422538161277771
245 0.14188425242900848 0.14188596606254578
246 0.14151842892169952 0.141520157456398
247 0.14115166664123535 0.14115339517593384
248 0.14078684151172638 0.14078854024410248
249 0.14042183756828308 0.14042353630065918
250 0.14005756378173828 0.14005927741527557
251 0.13969190418720245 0.13969361782073975
252 0.13932985067367554 0.13933156430721283
253 0.13896699249744415 0.13896872103214264
254 0.13860517740249634 0.13860690593719482
255 0.13824452459812164 0.13824622333049774
256 0.13788478076457977 0.13788650929927826
257 0.1375250220298767 0.1375267058610916
258 0.13716593384742737 0.13716763257980347
259 0.1368066370487213 0.1368083506822586
260 0.13644951581954956 0.13645122945308685
261 0.1360926777124405 0.1360943764448166
262 0.1357368677854538 0.1357385814189911
263 0.13538095355033875 0.13538268208503723
264 0.13502724468708038 0.13502895832061768
265 0.13467250764369965 0.13467420637607574
266 0.1343187838792801 0.13432049751281738
267 0.1339656412601471 0.1339673399925232
268 0.13361279666423798 0.13361451029777527
269 0.1332618147134781 0.1332635134458542
270 0.13291075825691223 0.13291248679161072
271 0.13256052136421204 0.13256223499774933
272 0.13221187889575958 0.13221359252929688
273 0.13186272978782654 0.13186442852020264
274 0.13151493668556213 0.13151666522026062
275 0.13116565346717834 0.13116736710071564
276 0.13082127273082733 0.13082298636436462
277 0.1304752081632614 0.1304769217967987
278 0.13012847304344177 0.13013018667697906
279 0.12978383898735046 0.12978556752204895
280 0.1294405311346054 0.1294422596693039
281 0.12909655272960663 0.12909826636314392
282 0.12875376641750336 0.12875549495220184
283 0.1284109205007553 0.1284126341342926
284 0.12806913256645203 0.12807084619998932
285 0.1277293860912323 0.1277310997247696
286 0.12739020586013794 0.12739191949367523
287 0.12704992294311523 0.12705163657665253
288 0.12671209871768951 0.1267138123512268
289 0.12637318670749664 0.12637488543987274
290 0.1260354071855545 0.1260371208190918
291 0.12569844722747803 0.12570016086101532
292 0.12536317110061646 0.12536486983299255
293 0.12502747774124146 0.12502919137477875
294 0.12469212710857391 0.1246938481926918
295 0.124357670545578 0.12435939908027649
296 0.12402498722076416 0.12402670830488205
297 0.12369313836097717 0.12369485944509506
298 0.12335974723100662 0.12336144596338272
299 0.12302853167057037 0.12303025275468826
300 0.12269831448793411 0.1227000430226326
301 0.12236763536930084 0.12236934155225754
302 0.12203802168369293 0.12203974276781082
303 0.1217072382569313 0.12170896679162979
