total_se run lumi
2.080909252166748 321781 452
1.8945586681365967 321781 453
2.0361692905426025 321781 486
1.8707510232925415 321781 488
1.8506522178649902 321781 596
1.8770358562469482 321781 597
2.249570846557617 321781 524
2.166213035583496 321781 525
1.8421181440353394 321781 431
2.1500086784362793 321781 433
1.9544965028762817 321781 458
1.8736203908920288 321781 459
2.090578317642212 321781 526
2.263601303100586 321781 528
1.9963164329528809 321781 479
2.150844097137451 321781 481
2.402301073074341 321781 492
1.9820237159729004 321781 493
2.157623767852783 321781 556
1.9856219291687012 321781 557
1.9099693298339844 321781 468
1.744333267211914 321781 469
2.1061182022094727 321781 470
2.1901941299438477 321781 471
1.8763468265533447 321781 472
2.149563789367676 321781 473
1.8870021104812622 321781 444
1.8987475633621216 321781 445
2.1035568714141846 321781 446
2.269444227218628 321781 447
1.919190764427185 321781 460
1.9467700719833374 321781 461
1.9592845439910889 321781 450
2.0319089889526367 321781 451
2.0326480865478516 321781 500
1.9251848459243774 321781 501
1.7235231399536133 321781 562
1.9238675832748413 321781 563
1.9280376434326172 321781 622
1.9430230855941772 321781 624
1.880119800567627 321781 628
1.8889727592468262 321781 629
1.9854611158370972 321781 454
1.927412509918213 321781 456
2.082080364227295 321781 490
2.337061882019043 321781 491
2.061103582382202 321781 510
2.125800848007202 321781 512
1.8314979076385498 321781 663
1.7906806468963623 321781 666
1.7871263027191162 321781 462
2.2518575191497803 321781 464
2.0156497955322266 321781 554
2.042088747024536 321781 555
1.955489158630371 321781 673
2.2934646606445312 321781 674
1.9827430248260498 321781 675
1.7720983028411865 321781 676
2.146397113800049 321781 474
2.1484334468841553 321781 475
2.3553121089935303 321781 487
1.9503188133239746 321781 489
1.7999813556671143 321781 532
1.968726634979248 321781 533
1.838773488998413 321781 626
2.0452775955200195 321781 627
1.9156889915466309 321781 478
2.0066161155700684 321781 480
2.298717498779297 321781 482
1.9929933547973633 321781 483
2.166323184967041 321781 484
2.07584810256958 321781 485
1.9191186428070068 321781 514
1.9915516376495361 321781 515
2.046666383743286 321781 496
2.1391096115112305 321781 497
1.8083434104919434 321781 498
2.5116982460021973 321781 499
2.1623544692993164 321781 610
1.8734655380249023 321781 611
1.5972859859466553 321781 664
2.0731897354125977 321781 665
1.72246515750885 321781 502
1.9177803993225098 321781 504
1.9265642166137695 321781 511
1.6837866306304932 321781 513
2.0122852325439453 321781 518
1.9270294904708862 321781 519
1.8472224473953247 321781 566
1.9900569915771484 321781 567
2.008263349533081 321781 568
2.333838939666748 321781 569
1.9814505577087402 321781 520
2.1067540645599365 321781 521
1.5068707466125488 321781 540
2.3466978073120117 321781 541
2.007882595062256 321781 638
1.8956272602081299 321781 639
2.010092258453369 321781 522
1.9930740594863892 321781 523
2.023979902267456 321781 534
1.9572908878326416 321781 536
2.278792381286621 321781 623
2.148961305618286 321781 625
1.9737579822540283 321781 576
1.6556990146636963 321781 535
1.6599581241607666 321781 537
2.0302016735076904 321781 546
1.9494223594665527 321781 547
1.803682565689087 321781 574
1.9410033226013184 321781 580
2.1028921604156494 321781 581
1.8730733394622803 321781 602
2.4945247173309326 321781 603
1.6929322481155396 321781 551
2.244040012359619 321781 553
1.7816067934036255 321781 558
1.9248595237731934 321781 560
2.1952013969421387 321781 592
2.2592146396636963 321781 593
2.272894859313965 321781 570
1.8971015214920044 321781 571
1.8439395427703857 321781 588
1.8833160400390625 321781 589
2.344672441482544 321781 634
1.7215434312820435 321781 635
1.9418786764144897 321781 575
2.125896453857422 321781 577
2.231938362121582 321781 582
2.0345089435577393 321781 584
2.3205676078796387 321781 598
1.8505194187164307 321781 600
1.9572020769119263 321781 636
1.8696088790893555 321781 637
1.831905484199524 321781 640
2.2446069717407227 321781 641
1.7028179168701172 321781 586
1.9333670139312744 321781 587
2.0236546993255615 321781 599
2.1099720001220703 321781 601
2.1974313259124756 321781 655
2.1123476028442383 321781 659
1.7806923389434814 321781 660
1.7021701335906982 321781 607
2.141684055328369 321781 609
1.9605352878570557 321781 618
2.2224628925323486 321781 619
1.7619624137878418 321781 620
1.9110546112060547 321781 621
2.184190511703491 321781 642
1.9276773929595947 321781 643
2.1853599548339844 321781 644
2.238377809524536 321781 649
2.940647602081299 321781 650
2.427300453186035 321781 651
2.3668506145477295 321781 652
1.8773753643035889 321781 653
1.9799875020980835 321781 630
2.3990659713745117 321781 632
2.0946574211120605 321781 631
1.6910191774368286 321781 633
1.978917121887207 321781 669
2.1104001998901367 321781 670
1.8463611602783203 321781 671
1.8527977466583252 321781 672
2.1725549697875977 321794 32
2.289288282394409 321794 34
2.642324924468994 321794 48
2.160383701324463 321794 33
1.9211605787277222 321794 71
2.6402931213378906 321794 35
2.411797046661377 321794 36
2.1202797889709473 321794 37
2.249509334564209 321794 38
3.296319007873535 321794 39
3.0393733978271484 321794 40
2.3552818298339844 321794 51
5.746359348297119 321794 52
2.303933620452881 321794 41
2.393224000930786 321794 42
2.7298879623413086 321794 43
3.2324559688568115 321794 44
5.986943244934082 321794 45
2.399109363555908 321794 50
3.0274465084075928 321794 46
2.100844144821167 321794 47
2.068862199783325 321794 121
2.337541103363037 321794 49
2.328758716583252 321794 53
2.3386013507843018 321794 54
2.371833324432373 321794 55
2.5043413639068604 321794 56
2.4236018657684326 321794 57
2.593709945678711 321794 58
2.128546714782715 321794 59
2.1048967838287354 321794 60
2.8562633991241455 321794 61
2.6065244674682617 321794 62
2.259920120239258 321794 63
1.9139125347137451 321794 64
2.2193996906280518 321794 65
2.007749080657959 321794 66
2.03246808052063 321794 67
1.971022605895996 321794 68
2.45989990234375 321794 69
2.4470958709716797 321794 70
1.8145434856414795 321794 72
2.0967118740081787 321794 73
1.865264892578125 321794 74
2.1507949829101562 321794 75
1.939279317855835 321794 76
2.096604347229004 321794 77
2.4243760108947754 321794 78
1.9565788507461548 321794 79
2.264657497406006 321794 80
2.116809368133545 321794 81
2.3814496994018555 321794 82
2.160564661026001 321794 83
2.040616035461426 321794 84
1.9085191488265991 321794 85
2.2103419303894043 321794 86
2.26149845123291 321794 87
2.044400453567505 321794 88
2.167724132537842 321794 89
1.9119701385498047 321794 90
2.1492843627929688 321794 91
2.5750861167907715 321794 92
1.8714947700500488 321794 93
2.0776748657226562 321794 94
1.744588851928711 321794 95
2.095475196838379 321794 96
2.0015037059783936 321794 97
1.8485844135284424 321794 98
2.0480873584747314 321794 99
2.0872559547424316 321794 100
1.99713134765625 321794 101
2.057161331176758 321794 102
1.84523606300354 321794 103
1.9976857900619507 321794 104
1.980847716331482 321794 105
2.1139304637908936 321794 106
2.013411283493042 321794 115
2.3544259071350098 321794 116
2.1143641471862793 321794 117
1.9176208972930908 321794 118
2.1117031574249268 321794 119
2.053532123565674 321794 120
2.177777051925659 321794 131
2.0144996643066406 321794 132
2.115344285964966 321794 133
2.0715577602386475 321794 134
2.13223934173584 321794 135
1.6666135787963867 321794 136
2.0058789253234863 321794 137
2.2787458896636963 321794 138
2.0041942596435547 321794 139
1.955627202987671 321794 140
